file,line,severity,category,description,code
FST_Cost_V1/config.php,65,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(0);
FST_Cost_V1/config.php,69,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL);
FST_Cost_V1/config.php,72,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,"ini_set('display_errors', 1);"
FST_Cost_V1/config.php,77,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL & ~E_DEPRECATED & ~E_STRICT);
FST_Cost_V1/config.php,142,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"error_log(""Database connection error: "" . $e->getMessage());"
FST_Cost_V1/config.php,146,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"die(""Database connection failed: "" . $e->getMessage());"
FST_Cost_V1/config.php,260,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT 1 FROM information_schema.columns"
FST_Cost_V1/dashboard.php,10,low,redirect_flow,Yönlendirme sonrası exit eksik olabilir.,header('Location: login.php');
FST_Cost_V1/index.php,10,low,redirect_flow,Yönlendirme sonrası exit eksik olabilir.,header('Location: dashboard.php');
FST_Cost_V1/index.php,12,low,redirect_flow,Yönlendirme sonrası exit eksik olabilir.,header('Location: login.php');
FST_Cost_V1/login.php,12,low,redirect_flow,Yönlendirme sonrası exit eksik olabilir.,header('Location: dashboard.php');
FST_Cost_V1/login.php,17,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$lang = $_GET['lang'] ?? $_SESSION['language'] ?? 'en';
FST_Cost_V1/login.php,34,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$username = trim($_POST['username'] ?? '');
FST_Cost_V1/login.php,35,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$password = trim($_POST['password'] ?? '');
FST_Cost_V1/login.php,79,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,if (isset($_POST['remember_me']) && $_POST['remember_me'] === 'on') {
FST_Cost_V1/login.php,99,low,redirect_flow,Yönlendirme sonrası exit eksik olabilir.,header('Location: dashboard.php');
FST_Cost_V1/login.php,146,high,xss,Kullanıcı girdisi doğrudan echo ile basılıyor olabilir.,"<input type=""text"" id=""username"" name=""username"" class=""form-control"" placeholder=""<?php echo $t_login['username'] ?? 'Username'; ?>"" value=""<?php echo isset($_COOKIE['remembered_username']) ? htmlspecialchars($_COOKIE['remembered_username']) : ''; ?>"" required>"
FST_Cost_V1/login.php,163,info,i18n,Çeviri dosyası dışında yerelleştirilmiş sabit metin olabilir.,"<option value=""tr"" <?php echo ($lang === 'tr') ? 'selected' : ''; ?>><?php echo $t_languages['tr'] ?? 'Türkçe'; ?></option>"
FST_Cost_V1/login.php,169,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,"<input type=""checkbox"" id=""remember_me"" name=""remember_me"" class=""form-check-input"" <?php echo (isset($_POST['remember_me']) || isset($_COOKIE['remembered_username'])) ? 'checked' : ''; ?>>"
FST_Cost_V1/login.php,169,high,xss,Kullanıcı girdisi doğrudan echo ile basılıyor olabilir.,"<input type=""checkbox"" id=""remember_me"" name=""remember_me"" class=""form-check-input"" <?php echo (isset($_POST['remember_me']) || isset($_COOKIE['remembered_username'])) ? 'checked' : ''; ?>>"
FST_Cost_V1/logout.php,17,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,if (isset($_COOKIE['remembered_username'])) {
FST_Cost_V1/logout.php,27,low,redirect_flow,Yönlendirme sonrası exit eksik olabilir.,header('Location: login.php');
FST_Cost_V1/api/definitions/costs.php,16,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL); // Still log errors but don't display
FST_Cost_V1/api/definitions/costs.php,38,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"echo json_encode(['success' => false, 'message' => 'Database connection failed: ' . $e->getMessage()]);"
FST_Cost_V1/api/definitions/costs.php,44,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$action = $_GET['action'] ?? '';
FST_Cost_V1/api/definitions/costs.php,111,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$id = $_GET['id'] ?? null;
FST_Cost_V1/api/definitions/costs.php,173,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"echo json_encode(['success' => false, 'message' => 'Database error: ' . $error]);"
FST_Cost_V1/api/definitions/costs.php,176,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"echo json_encode(['success' => false, 'message' => 'Error: ' . $e->getMessage()]);"
FST_Cost_V1/api/definitions/currencies.php,15,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL);
FST_Cost_V1/api/definitions/currencies.php,42,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"echo json_encode(['success' => false, 'message' => 'Database connection failed: ' . $e->getMessage()]);"
FST_Cost_V1/api/definitions/currencies.php,48,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$action = $_GET['action'] ?? '';
FST_Cost_V1/api/definitions/currencies.php,85,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$country_id = isset($_GET['country_id']) ? (int)$_GET['country_id'] : 0;
FST_Cost_V1/api/definitions/currencies.php,93,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$country_id = isset($_GET['country_id']) ? (int)$_GET['country_id'] : 0;
FST_Cost_V1/api/definitions/currencies.php,98,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$start = $_GET['start'] ?? null;
FST_Cost_V1/api/definitions/currencies.php,99,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$end = $_GET['end'] ?? null;
FST_Cost_V1/api/definitions/currencies.php,156,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$id = $_GET['id'] ?? null;
FST_Cost_V1/api/definitions/currencies.php,172,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$country_id = isset($_GET['country_id']) ? (int)$_GET['country_id'] : 0;
FST_Cost_V1/api/definitions/currencies.php,173,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$date = $_GET['date'] ?? null;
FST_Cost_V1/api/definitions/currencies.php,207,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,// Update country's base settings (local currency code). Requires id
FST_Cost_V1/api/definitions/currencies.php,220,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"$setParts[] = ""local_currency_code = '"" . $local_currency_code . ""'"";"
FST_Cost_V1/api/definitions/currencies.php,228,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""UPDATE countries SET "" . implode(', ', $setParts) . "" WHERE id = $id"";"
FST_Cost_V1/api/definitions/currencies.php,235,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT cc.id, cc.country_id, cc.currency_code, cc.unit_name, cc.is_active, c.name as currency_name, c.symbol"
FST_Cost_V1/api/definitions/currencies.php,479,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""UPDATE country_currencies SET "" . implode(', ', $setParts) . "" WHERE id = $id"";"
FST_Cost_V1/api/definitions/languages.php,15,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL); // Still log errors but don't display
FST_Cost_V1/api/definitions/languages.php,35,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$action = $_GET['action'] ?? '';
FST_Cost_V1/api/definitions/languages.php,66,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$code = $_GET['code'] ?? null;
FST_Cost_V1/api/definitions/languages.php,95,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$code = $_GET['code'] ?? null;
FST_Cost_V1/api/definitions/languages.php,108,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$code = $_GET['code'] ?? null;
FST_Cost_V1/api/definitions/languages.php,126,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,$filePath = $langDir . $file;
FST_Cost_V1/api/definitions/languages.php,152,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,$filePath = $langDir . $code . '.json';
FST_Cost_V1/api/definitions/languages.php,194,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,$filePath = $langDir . $code . '.json';
FST_Cost_V1/api/definitions/languages.php,226,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,$filePath = $langDir . $code . '.json';
FST_Cost_V1/api/definitions/languages.php,251,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,$filePath = $langDir . $code . '.json';
FST_Cost_V1/api/definitions/languages.php,272,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,$filePath = $langDir . $code . '.json';
FST_Cost_V1/api/definitions/locations.php,15,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL); // Still log errors but don't display
FST_Cost_V1/api/definitions/locations.php,37,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"echo json_encode(['success' => false, 'message' => 'Database connection failed: ' . $e->getMessage()]);"
FST_Cost_V1/api/definitions/locations.php,43,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$action = $_GET['action'] ?? '';
FST_Cost_V1/api/definitions/locations.php,90,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$country_id = isset($_GET['country_id']) ? (int)$_GET['country_id'] : null;
FST_Cost_V1/api/definitions/locations.php,94,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$region_id = isset($_GET['region_id']) ? (int)$_GET['region_id'] : null;
FST_Cost_V1/api/definitions/locations.php,98,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$city_id = isset($_GET['city_id']) ? (int)$_GET['city_id'] : null;
FST_Cost_V1/api/definitions/locations.php,152,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$id = $_GET['id'] ?? null;
FST_Cost_V1/api/definitions/locations.php,232,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"$setParts[] = ""local_currency_code = '"" . $local_currency_code . ""'"";"
FST_Cost_V1/api/definitions/locations.php,237,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""UPDATE countries SET "" . implode(', ', $setParts) . "" WHERE id = $id"";"
FST_Cost_V1/api/definitions/locations.php,258,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,'message' => 'This country cannot be deleted because it has ' . $row['count'] . ' region(s) associated with it. Please delete all regions first.'
FST_Cost_V1/api/definitions/locations.php,258,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,'message' => 'This country cannot be deleted because it has ' . $row['count'] . ' region(s) associated with it. Please delete all regions first.'
FST_Cost_V1/api/definitions/locations.php,280,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT r.*, c.name as country_name FROM regions r LEFT JOIN countries c ON r.country_id = c.id ORDER BY r.name ASC"";"
FST_Cost_V1/api/definitions/locations.php,342,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,'message' => 'This region cannot be deleted because it has ' . $row['count'] . ' city/cities associated with it. Please delete all cities first.'
FST_Cost_V1/api/definitions/locations.php,342,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,'message' => 'This region cannot be deleted because it has ' . $row['count'] . ' city/cities associated with it. Please delete all cities first.'
FST_Cost_V1/api/definitions/locations.php,364,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT c.*, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/locations.php,430,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,'message' => 'This city cannot be deleted because it has ' . $row['count'] . ' sub region(s) associated with it. Please delete all sub regions first.'
FST_Cost_V1/api/definitions/locations.php,430,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,'message' => 'This city cannot be deleted because it has ' . $row['count'] . ' sub region(s) associated with it. Please delete all sub regions first.'
FST_Cost_V1/api/definitions/locations.php,450,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT sr.*, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/locations.php,458,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT sr.*, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/locations.php,525,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,'message' => 'This sub region cannot be deleted because it has ' . $row['count'] . ' merchant(s) associated with it. Please delete all merchants first.'
FST_Cost_V1/api/definitions/locations.php,525,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,'message' => 'This sub region cannot be deleted because it has ' . $row['count'] . ' merchant(s) associated with it. Please delete all merchants first.'
FST_Cost_V1/api/definitions/locations.php,543,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$name = $_GET['name'] ?? '';
FST_Cost_V1/api/definitions/locations.php,545,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$id = $_GET['id'] ?? null;
FST_Cost_V1/api/definitions/locations.php,563,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$name = $_GET['name'] ?? '';
FST_Cost_V1/api/definitions/locations.php,565,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$country_id = $_GET['country_id'] ?? null;
FST_Cost_V1/api/definitions/locations.php,566,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$id = $_GET['id'] ?? null;
FST_Cost_V1/api/definitions/locations.php,590,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$name = $_GET['name'] ?? '';
FST_Cost_V1/api/definitions/locations.php,592,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$region_id = $_GET['region_id'] ?? null;
FST_Cost_V1/api/definitions/locations.php,593,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$id = $_GET['id'] ?? null;
FST_Cost_V1/api/definitions/locations.php,617,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$name = $_GET['name'] ?? '';
FST_Cost_V1/api/definitions/locations.php,619,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$city_id = $_GET['city_id'] ?? null;
FST_Cost_V1/api/definitions/locations.php,620,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$id = $_GET['id'] ?? null;
FST_Cost_V1/api/definitions/merchants.php,16,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL); // Still log errors but don't display
FST_Cost_V1/api/definitions/merchants.php,43,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,$msg = defined('APP_DEBUG') && APP_DEBUG ? $e->getMessage() . ' in ' . $e->getFile() . ':' . $e->getLine() : 'Configuration error';
FST_Cost_V1/api/definitions/merchants.php,77,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$action = $_GET['action'] ?? '';
FST_Cost_V1/api/definitions/merchants.php,126,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$sub_region_id = isset($_GET['sub_region_id']) ? (int)$_GET['sub_region_id'] : null;
FST_Cost_V1/api/definitions/merchants.php,162,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$id = $_GET['id'] ?? null;
FST_Cost_V1/api/definitions/merchants.php,180,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT sr.*, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/merchants.php,201,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT m.*, sr.name as sub_region_name, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/merchants.php,210,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT m.*, sr.name as sub_region_name, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/merchants.php,319,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,'message' => 'This merchant cannot be deleted because it has ' . $row['count'] . ' tour(s) associated with it. Please delete all tours first.'
FST_Cost_V1/api/definitions/merchants.php,319,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,'message' => 'This merchant cannot be deleted because it has ' . $row['count'] . ' tour(s) associated with it. Please delete all tours first.'
FST_Cost_V1/api/definitions/positions.php,16,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL); // Still log errors but don't display
FST_Cost_V1/api/definitions/positions.php,38,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,"echo json_encode(['success' => false, 'message' => 'Database connection failed: ' . $e->getMessage()]);"
FST_Cost_V1/api/definitions/positions.php,44,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$action = $_GET['action'] ?? '';
FST_Cost_V1/api/definitions/positions.php,79,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$city_id = isset($_GET['city_id']) ? (int)$_GET['city_id'] : null;
FST_Cost_V1/api/definitions/positions.php,83,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$dept_id = isset($_GET['department_id']) ? (int)$_GET['department_id'] : null;
FST_Cost_V1/api/definitions/positions.php,125,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$id = $_GET['id'] ?? null;
FST_Cost_V1/api/definitions/positions.php,146,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT c.*, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/positions.php,165,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT d.*, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/positions.php,173,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT d.*, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/positions.php,240,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,'message' => 'This department cannot be deleted because it has ' . $row['count'] . ' position(s) associated with it. Please delete all positions first.'
FST_Cost_V1/api/definitions/positions.php,240,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,'message' => 'This department cannot be deleted because it has ' . $row['count'] . ' position(s) associated with it. Please delete all positions first.'
FST_Cost_V1/api/definitions/positions.php,260,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT p.*, d.name as department_name, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/positions.php,269,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT p.*, d.name as department_name, c.name as city_name, r.name as region_name, co.name as country_name"
FST_Cost_V1/api/definitions/tours.php,16,medium,debug_mode,Hata gösterimi/raporlama üretimde açık olabilir.,error_reporting(E_ALL); // Still log errors but don't display
FST_Cost_V1/api/definitions/tours.php,36,high,file_inclusion,Değişkene bağlı include/require tespit edildi. RFI/LFI riski.,$msg = defined('APP_DEBUG') && APP_DEBUG ? $e->getMessage() . ' in ' . $e->getFile() . ':' . $e->getLine() : 'Configuration error';
FST_Cost_V1/api/definitions/tours.php,70,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$action = $_GET['action'] ?? '';
FST_Cost_V1/api/definitions/tours.php,105,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$country_id = isset($_GET['country_id']) ? (int)$_GET['country_id'] : null;
FST_Cost_V1/api/definitions/tours.php,109,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$region_id = isset($_GET['region_id']) ? (int)$_GET['region_id'] : null;
FST_Cost_V1/api/definitions/tours.php,113,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$city_id = isset($_GET['city_id']) ? (int)$_GET['city_id'] : null;
FST_Cost_V1/api/definitions/tours.php,117,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$sub_region_id = isset($_GET['sub_region_id']) ? (int)$_GET['sub_region_id'] : null;
FST_Cost_V1/api/definitions/tours.php,127,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$contract_id = isset($_GET['contract_id']) ? (int)$_GET['contract_id'] : null;
FST_Cost_V1/api/definitions/tours.php,131,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$tour_id = isset($_GET['tour_id']) ? (int)$_GET['tour_id'] : null;
FST_Cost_V1/api/definitions/tours.php,173,medium,unsanitized_input,Kullanıcı girdisi işlenmeden kullanılıyor olabilir.,$id = $_GET['id'] ?? null;
FST_Cost_V1/api/definitions/tours.php,208,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT r.*, c.name as country_name FROM regions r LEFT JOIN countries c ON r.country_id = c.id ORDER BY r.name ASC"";"
FST_Cost_V1/api/definitions/tours.php,225,high,sql_injection,SQL sorgusu içinde string birleştirme veya ham kullanıcı girdisi kullanımı.,"$query = ""SELECT c.*, r.name as region_name, r.country_id, co.name as country_name"
